date,open,high,low,close,chg,chgPct,volume,value 
2015/5/12,4660.40 ,4724.60 ,4635.00 ,4704.00 ,46.00 ,0.99 ,1162418.00 ,1629241212928.00 
2015/5/13,4702.80 ,4733.00 ,4653.80 ,4674.20 ,(29.80),(0.63),950409.00 ,1338865942528.00 
2015/5/14,4676.20 ,4703.80 ,4657.00 ,4691.00 ,16.80 ,0.36 ,429212.00 ,603005415424.00 
2015/5/15,4688.20 ,4698.00 ,4585.60 ,4634.60 ,(56.40),(1.20),138920.00 ,193342808064.00 
2015/5/18,4583.80 ,4599.80 ,4531.80 ,4536.80 ,(97.80),(2.11),1232678.00 ,1689359351808.00 
2015/5/19,4547.80 ,4780.40 ,4543.00 ,4774.00 ,237.20 ,5.23 ,1505638.00 ,2113628471296.00 
2015/5/20,4780.00 ,4907.00 ,4739.00 ,4775.00 ,1.00 ,0.02 ,1542579.00 ,2228073857024.00 
2015/5/21,4785.00 ,4904.80 ,4778.60 ,4891.80 ,116.80 ,2.45 ,1518782.00 ,2204437118976.00 
2015/5/22,4908.00 ,5027.20 ,4893.00 ,5022.80 ,131.00 ,2.68 ,1505153.00 ,2234401751040.00 
2015/5/25,4993.20 ,5190.00 ,4985.00 ,5156.40 ,133.60 ,2.66 ,1300551.00 ,1989228429312.00 
2015/5/26,5170.20 ,5287.40 ,5150.00 ,5274.20 ,117.80 ,2.28 ,1542497.00 ,2419714686976.00 
2015/5/27,5304.00 ,5370.00 ,5205.40 ,5290.00 ,15.80 ,0.30 ,1579474.00 ,2505028796416.00 
2015/5/28,5309.00 ,5328.00 ,4851.20 ,4943.20 ,(346.80),(6.56),1835645.00 ,2834094620672.00 
